esn	owner	place	name	model_doc	year
77804810	АО "Полюс Алдан"	Горно-дорожный участок	ДВС X12CS4350 №77804810	X12CS4350	2025
77804809	АО "Полюс Алдан"	Горно-дорожный участок	ДВС X12CS4350 №77804809	X12CS4350	
77804793	АО "Полюс Алдан"	Горно-дорожный участок	ДВС X12CS4350 №77804793	X12CS4350	2025
37266629	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №37266629	KTTA19-C700	2016
37268041	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №37268041	KTTA19-C700	2016
1972301016	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №1972301016	KTTA19-C700	2023
31284381	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №31284381	KTTA19-C700	2023
317643375	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №317643375	KTTA19-C700	2023
41569434	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №41569434	KTTA19-C700	2023
41569432	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №41569432	KTTA19-C700	1900
37251542	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2018
37269910	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2001
88819043	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700 №88819043	KTTA19-C700	2024
41365012	АО "Полюс Алдан"	Парк бульдозеров Shantui SD34	ДВС NTA855-C360S10	NTA855-C360S10	2025
33164918	АО "Полюс Алдан"	Парк спецтехники	ДВС KTA50-C №33164918	KTA50-C	2007
85017333	АО "Полюс Алдан"	Парк экскаваторов LiuGong 9125F	ДВС QSK23-C №85017333	QSK23-C	2024
41340468	АО "Полюс Вернинское"	Парк Komatsu HD1500	ДВС QSK50 №41340468	QSK50	2023
33221618	АО "Полюс Вернинское"	Парк Komatsu HD1500	ДВС QSK50 №33221618	QSK50	2021
93948840	АО "Полюс Вернинское"	Парк ZEGA D480A	ДВС QSZ13-C550-30 №93948840	QSZ13-C550-30	2022
82325481	АО "Полюс Вернинское"	Парк ZEGA D480A	ДВС QSZ13-C550-30 №82325481	QSZ13-C550-30	2022
2874198	АО "Полюс Вернинское"	Парк ZEGA D480A	ДВС QSZ13-C550-30	QSZ13-C550-30	
80093256	АО "Полюс Красноярск"	Парк буровых IR DML	ДВС QSX15 №80093256	QSX15	2018
80141463	АО "Полюс Красноярск"	Парк буровых IR DML	ДВС №80141463	QSX15	2013
80196011	АО "Полюс Красноярск"	Парк буровых IR DML	Двигатель внутр.сгорания №80196011	QSX15	2013
80248213	АО "Полюс Красноярск"	Парк буровых IR DML	ДВС QSX15 №80248213	QSX15	2020
