machine	vin	esn	model	owner	year
Горно-дорожный участок		77804810	X12CS4350	АО "Полюс Алдан"	2025
Горно-дорожный участок		77804809	X12CS4350	АО "Полюс Алдан"	
Горно-дорожный участок		77804793	X12CS4350	АО "Полюс Алдан"	2025
Парк БелАз 55 т		37266629	KTTA19-C700	АО "Полюс Алдан"	2016
Парк БелАз 55 т		37268041	KTTA19-C700	АО "Полюс Алдан"	2016
Парк БелАз 55 т		1972301016	KTTA19-C700	АО "Полюс Алдан"	2023
Парк БелАз 55 т		31284381	KTTA19-C700	АО "Полюс Алдан"	2023
Парк БелАз 55 т		317643375	KTTA19-C700	АО "Полюс Алдан"	2023
Парк БелАз 55 т		41569434	KTTA19-C700	АО "Полюс Алдан"	2023
Парк БелАз 55 т		41569432	KTTA19-C700	АО "Полюс Алдан"	1900
Парк БелАз 55 т		37251542	KTTA19-C700	АО "Полюс Алдан"	2018
Парк БелАз 55 т		37269910	KTTA19-C700	АО "Полюс Алдан"	2001
Парк БелАз 55 т		88819043	KTTA19-C700	АО "Полюс Алдан"	2024
Парк бульдозеров Shantui SD34		41365012	NTA855-C360S10	АО "Полюс Алдан"	2025
Парк спецтехники		33164918	KTA50-C	АО "Полюс Алдан"	2007
Парк экскаваторов LiuGong 9125F		85017333	QSK23-C	АО "Полюс Алдан"	2024
Парк Komatsu HD1500		41340468	QSK50	АО "Полюс Вернинское"	2023
Парк Komatsu HD1500		33221618	QSK50	АО "Полюс Вернинское"	2021
Парк ZEGA D480A		93948840	QSZ13-C550-30	АО "Полюс Вернинское"	2022
Парк ZEGA D480A		82325481	QSZ13-C550-30	АО "Полюс Вернинское"	2022
Парк ZEGA D480A		2874198	QSZ13-C550-30	АО "Полюс Вернинское"	
Парк буровых IR DML		80093256	QSX15	АО "Полюс Красноярск"	2018
Парк буровых IR DML		80141463	QSX15	АО "Полюс Красноярск"	2013
Парк буровых IR DML		80196011	QSX15	АО "Полюс Красноярск"	2013
Парк буровых IR DML		80248213	QSX15	АО "Полюс Красноярск"	2020
Парк буровых IR DML		80106827	QSX15	АО "Полюс Красноярск"	2020
Парк буровых Sandvik DE		73268106	QSB-6.7	АО "Полюс Красноярск"	2016
СЭБТ - Белазы		35321036	QSM11-C	АО "Полюс Красноярск"	2016
СЭБТ - Белазы		35321039	QSM11-C	АО "Полюс Красноярск"	2016
СЭБТ - Белазы		35321035	QSM11-C	АО "Полюс Красноярск"	2014
СЭБТ - Белазы		35321043	QSM11-C	АО "Полюс Красноярск"	2016
СЭБТ - Белазы		35370013	QSM11-C	АО "Полюс Красноярск"	2020
СЭБТ - Белазы		35373113	QSM11-C	АО "Полюс Красноярск"	2020
СЭБТ - Белазы		35373109	QSM11-C	АО "Полюс Красноярск"	2021
СЭБТ - Белазы		35373105	QSM11-C	АО "Полюс Красноярск"	2021
СЭБТ - Белазы		35373111	QSM11-C	АО "Полюс Красноярск"	2020
СЭБТ - Коматсу - 141 тн		33217951	QSK50	АО "Полюс Красноярск"	2019
СЭБТ - Коматсу - 141 тн		33217950	QSK50	АО "Полюс Красноярск"	2019
СЭБТ - Коматсу - 220 тн		33193637	QSK60-C	АО "Полюс Красноярск"	2016
СЭБТ - Коматсу - 220 тн		33194808	QSK60-C	АО "Полюс Красноярск"	2016
СЭБТ - Коматсу - 220 тн		33194973	QSK60-C	АО "Полюс Красноярск"	2019
СЭБТ - Коматсу - 220 тн		33195107	QSK60-C	АО "Полюс Красноярск"	2013
СЭБТ - Коматсу - 220 тн		33195038	QSK60-C	АО "Полюс Красноярск"	2013
СЭБТ - Коматсу - 220 тн		33193750	QSK60-C	АО "Полюс Красноярск"	2012
СЭБТ - Коматсу - 220 тн		33219033	QSK60-C	АО "Полюс Красноярск"	2012
СЭБТ - Парк спецтехники		37280605	KTA19-C	АО "Полюс Красноярск"	
СЭБТ - Парк спецтехники		33182682	KTA50-C	АО "Полюс Красноярск"	2011
