esn	owner	place	name	model_doc	year
Н/Д	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2001
Н/Д	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2023
Н/Д	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2023
Н/Д	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2023
Н/Д	АО "Полюс Алдан"	Парк БелАз 55 т	ДВС KTTA19-C700	KTTA19-C700	2023
#	АО "Полюс Алдан"	Парк бульдозеров Shantui SD60-C5	ДВС QSK19-C604	QSK19-C604	2024
#	АО "Полюс Алдан"	Парк бульдозеров Shantui SD60-C5	ДВС QSK19-C604	QSK19-C604	2024
#	АО "Полюс Алдан"	Парк бульдозеров Shantui SD60-C5	ДВС QSK19-C604	QSK19-C604	2024
#	АО "Полюс Алдан"	Парк бульдозеров Shantui SD60-C5	ДВС QSK19-C604	QSK19-C604	2024
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС КТА-19	КТА-19	2007
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС KTTA19-C700	KTTA19-C700	2006
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС KTTA19-C700	KTTA19-C700	2012
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС QSB-6.7	QSB-6.7	2011
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС ISB6.7E4	ISB6.7E4	2015
Н/Д	АО "Полюс Алдан"	Парк спецтехники	ДВС ISB6.7E4	ISB6.7E4	2018
#	АО "Полюс Алдан"	Парк экскаваторов LiuGong 9125F	ДВС QSK23-C	QSK23-C	2024
#	АО "Полюс Алдан"	Парк экскаваторов LiuGong 9125F	ДВС QSK23-C	QSK23-C	2024
#	АО "Полюс Алдан"	Парк экскаваторов LiuGongCLG942	ДВС QSL 9.3	QSL 9.3	2024
#	АО "Полюс Алдан"	Парк экскаваторов LiuGongCLG942	ДВС QSL 9.3	QSL 9.3	2024
#	АО "Полюс Алдан"	Парк экскаваторов LiuGongCLG942	ДВС QSL 9.3	QSL 9.3	2024
Н.Д.	АО "Полюс Вернинское"	АТЦ_парк дорожной техники	ДВС QSB6.7	QSB6.7	2012
Н.Д.	АО "Полюс Вернинское"	АТЦ_парк дорожной техники	ДВС QSB 6,7	CUMMINS QSB 6,7	2012
SO30048	АО "Полюс Вернинское"	АТЦ_парк прочих экскаваторов	ДВС QSB7 №SO30048	QSB7-G5	2021
#	АО "Полюс Красноярск"	Парк буровых DM-75	ДВС QSK19	QSK19	2022
#	АО "Полюс Красноярск"	Парк буровых DM-75	ДВС QSK19	QSK19	2022
#	АО "Полюс Красноярск"	Парк буровых DM-75	ДВС QSK19	QSK19	2022
#	АО "Полюс Красноярск"	Парк буровых DM-75	ДВС QSK19	QSK19	2023
#	АО "Полюс Магадан"	АТЦ_Парк БелАЗ 75473 (ПЩК)	ДВС KTA19-C	KTA19-C	
#	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС SSDA16V159E-2	SSDA16V159E-2	2021
#	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС SSDA16V159E-2	SSDA16V159E-2	2021
14087-10	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №14087-10	QSK50	2023
14087-9	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №14087-9	QSK50	
14087-18	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №14087-18	QSK50	2023
14087-21	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №14087-21	QSK50	
