ESN	МодельДВС	Год	VIN	Площадка
33224903	QSK60	2024	NHLTBABAVRB200054	Полюс Красноярск(240)
33225621	QSK60	2023	NHLTBABAEPB200039	Полюс Красноярск(240)
33226250	QSK60	2023	NHLTBABAVPB200021	Полюс Красноярск(240)
33226469	QSK60	2023	NHLTBABAVPB200018	Полюс Красноярск(240)
33226696	QSK60	2023	NHLTBABAPPB200028	Полюс Красноярск(240)
33226708	QSK60	2024	NHLTBABACRB200059	Полюс Красноярск(240)
33227297	QSK60	2023	NHLTBABAAPB200036	Полюс Красноярск(240)
33227298	QSK60	2023	NHLTBABACPB200043	Полюс Красноярск(240)
33227310	QSK60	2023	NHLTBABATPB200027	Полюс Красноярск(240)
33227311	QSK60	2023	NHLTBABATPB200030	Полюс Красноярск(240)
33227312	QSK60	2023	NHLTBABAPPB200031	Полюс Красноярск(240)
33227330	QSK60	2023	NHLTBABAJPB200033	Полюс Красноярск(240)
33227331	QSK60	2023	NHLTBABAHPB200041	Полюс Красноярск(240)
33227348	QSK60	2023	NHLTBABAKPB200046	Полюс Красноярск(240)
33227405	QSK60	2023	NHLTBABACPB200034	Полюс Красноярск(240)
33227422	QSK60	2023	NHLTBABAHPB200038	Полюс Красноярск(240)
33227982	QSK60	2023	NHLTBABALPB200037	Полюс Красноярск(240)
33227994	QSK60	2023	NHLTBABAKPB200029	Полюс Красноярск(240)
33228026	QSK60	2023	NHLTBABALPB200040	Полюс Красноярск(240)
33228416	QSK60	2023	NHLTBABAHPB200024	Полюс Красноярск(240)
33228600	QSK60	2023	NHLTBABAVPB200035	Полюс Красноярск(240)
33228676	QSK60	2023	NHLTBABAJPB200016	Полюс Красноярск(240)
33229083	QSK60	2023	NHLTBABAEPB200025	Полюс Красноярск(240)
33229084	QSK60	2023	NHLTBABAKPB200015	Полюс Красноярск(240)
33229115	QSK60	2023	NHLTBABALPB200023	Полюс Красноярск(240)
33229400	QSK50	2023	NHLT0ABAEPB100092	Полюс Магадан(200)
33229401	QSK50	2023	NHLT0ABAHPB100091	Полюс Магадан(200)
33229431	QSK50	2023	NHLT0ABAPPB100095	Полюс Магадан(200)
33230182	QSK50	2023	NHLT0ABACPB100098	Полюс Магадан(200)
33230183	QSK50	2023	NHLT0ABACPB100093	Полюс Магадан(200)
33230197	QSK50	2023	NHLT0ABATPB100094	Полюс Магадан(200)
33230198	QSK50	2023	NHLT0ABAKPB100096	Полюс Магадан(200)
33230210	QSK50	2024	NHLT0ABAARB100110	Полюс Магадан(200)
33230337	QSK60	2023	NHLTBABAAPB200019	Полюс Красноярск(240)
33230354	QSK60	2023	NHLTBABAСPB200020	Полюс Красноярск(240)
33230459	QSK50	2024	NHLT0ABAARB100107	Полюс Магадан(200)
33230472	QSK50	2023	NHLT0ABATPB100077	Полюс Магадан(200)
33230473	QSK50	2024	NHLT0ABATRB100101	Полюс Магадан(200)
33230474	QSK50	2024	NHLT0ABALRB100111	Полюс Магадан(200)
33230485	QSK50	2024	NHLT0ABAPRB100097	Полюс Магадан(200)
33230958	QSK60	2025	NHLTBABAESB200079	Полюс Красноярск(240)
33230959	QSK60	2023	NHLTBABAKPB200032	Полюс Красноярск(240)
33230974	QSK60	2023	NHLTBABATPB200044	Полюс Красноярск(240)
33230975	QSK60	2025	NHLTBABACSB200083	Полюс Красноярск(240)
33231036	QSK60	2023	NHLTBABAEPB200042	Полюс Красноярск(240)
33231474	QSK60	2023	NHLTBABAVPB200049	Полюс Красноярск(240)
33231475	QSK60	2023	NHLTBABAJPB200047	Полюс Красноярск(240)
33231488	QSK60	2023	NHLTBABAPPB200045	Полюс Красноярск(240)
33231489	QSK60	2023	NHLTBABACPB200048	Полюс Красноярск(240)
33231490	QSK60	2023	NHLTBABAJPB200050	Полюс Красноярск(240)
33231740	QSK50	2024	NHLT0ABAPRB100102	Полюс Магадан(200)
33231741	QSK50	2024	NHLT0ABACRB100100	Полюс Магадан(200)
33231742	QSK50	2023	NHLT0ABAJPB100083	Полюс Магадан(200)
33231760	QSK50	2024	NHLT0ABALRB100108	Полюс Магадан(200)
33232655	QSK50	2024	NHLT0ABAVRB100106	Полюс Магадан(200)
33232708	QSK50	2024	NHLT0ABAVRB100090	Полюс Магадан(200)
33232758	QSK50	2023	NHLT0ABAКPB100079	Полюс Магадан(200)
33232759	QSK50	2023	NHLT0ABATPB100080	Полюс Магадан(200)
33232776	QSK50	2023	NHLT0ABAРPB100078	Полюс Магадан(200)
33232777	QSK50	2024	NHLT0ABACRB100105	Полюс Магадан(200)
33232793	QSK50	2024	NHLT0ABAJRB100099	Полюс Магадан(200)
33232794	QSK50	2024	NHLT0ABAKRB100103	Полюс Магадан(200)
33232834	QSK50	2024	NHLT0ABAJRB100104	Полюс Магадан(200)
33232851	QSK50	2023	NHLT0ABAAPB100087	Полюс Магадан(200)
33232852	QSK50	2023	NHLT0ABAAPB100082	Полюс Магадан(200)
33232853	QSK50	2023	NHLT0ABAСPB100084	Полюс Магадан(200)
33232925	QSK50	2023	NHLT0ABAHPB100088	Полюс Магадан(200)
33232926	QSK50	2023	NHLT0ABAAPB100086	Полюс Магадан(200)
33232946	QSK50	2023	NHLT0ABAAPB100081	Полюс Магадан(200)
33232947	QSK50	2023	NHLT0ABAEPB100089	Полюс Магадан(200)
33233444	QSK60	2025	NHLTBABAKSB200086	Полюс Красноярск(240)
33233459	QSK60	2025	NHLTBABACSB200088	Полюс Красноярск(240)
33233460	QSK60	2025	NHLTBABAJSB200090	Полюс Красноярск(240)
33233482	QSK60	2025	NHLTBABAHSB200078	Полюс Красноярск(240)
33233492	QSK60	2023	NHLTBABACPB200026	Полюс Красноярск(240)
33233512	QSK60	2025	NHLTBABAESB200082	Полюс Красноярск(240)
33233617	QSK50	2024	NHLT0ABAHRB100109	Полюс Магадан(200)
33233618	QSK50	2024	NHLT0ABAHRB100112	Полюс Магадан(200)
33233830	QSK60	2024	NHLTBABAARB200055	Полюс Красноярск(240)
33233832	QSK60	2024	NHLTBABACRB200053	Полюс Красноярск(240)
33233844	QSK60	2024	NHLTBABAKRB200051	Полюс Красноярск(240)
33233845	QSK60	2024	NHLTBABAJRB200052	Полюс Красноярск(240)
33233846	QSK60	2025	NHLTBABACSB200091	Полюс Красноярск(240)
33233869	QSK60	2025	NHLTBABAPSB200085	Полюс Красноярск(240)
33233870	QSK60	2025	NHLTBABAJSB200087	Полюс Красноярск(240)
33233944	QSK60	2025	NHLTBABAVSB200089	Полюс Красноярск(240)
33234366	QSK60	2024	NHLTBABAERB200058	Полюс Красноярск(240)
33234367	QSK60	2025	NHLTBABALSB200080	Полюс Красноярск(240)
33234370	QSK60	2025	NHLTBABAHSB200081	Полюс Красноярск(240)
33234381	QSK60	2025	NHLTBABATSB200084	Полюс Красноярск(240)
33234390	QSK60	2025	NHLTBABAESB200096	Полюс Красноярск(240)
33234600	QSK60	2025	NHLTBABAVSB200092	Полюс Красноярск(240)
33234602	QSK60	2024	NHLTBABAERB200061	Полюс Красноярск(240)
33234603	QSK60	2024	NHLTBABAHRB200060	Полюс Красноярск(240)
33234675	QSK60	2024	NHLTBABALRB200056	Полюс Красноярск(240)
33234676	QSK60	2024	NHLTBABAHRB200057	Полюс Красноярск(240)
33236214	QSK50	2025	NHLT0ABAPSB100123	Полюс Магадан(200)
33236246	QSK50	2025	NHLT0ABAJSB100125	Полюс Магадан(200)
33236259	QSK50	2025	NHLT0ABAKSB100124	Полюс Магадан(200)
33237860	QSK60	2025	NHLTBABATSB200098	Полюс Красноярск(240)
33237861	QSK60	2025	NHLTBABATSB200103	Полюс Красноярск(240)
33237863	QSK60	2025	NHLTBABALSB2A0141	Полюс Красноярск(240)
33237869	QSK60	2025	NHLTBABAPSB200099	Полюс Красноярск(240)
33237871	QSK60	2025	NHLTBABAHSB200100	Полюс Красноярск(240)
33237872	QSK60	2025	NHLTBABAESB200101	Полюс Красноярск(240)
33237882	QSK60	2025	NHLTBABACSB200102	Полюс Красноярск(240)
33238007	QSK60	2025	NHLTBABALSB200094	Полюс Красноярск(240)
33238008	QSK60	2025	NHLTBABAPSB200104	Полюс Красноярск(240)
33238020	QSK60	2025	NHLTBABACSB200097	Полюс Красноярск(240)
33238036	QSK60	2025	NHLTBABAKSB200105	Полюс Красноярск(240)
33238075	QSK60	2025	NHLTBABAHSB200095	Полюс Красноярск(240)
33238076	QSK60	2025	NHLTBABAASB200093	Полюс Красноярск(240)
33238294	QSK60	2025	NHLTBABAASB2A0137	Полюс Красноярск(240)
33238488	QSK60	2025	NHLTBABAKSB2A0133	Полюс Красноярск(240)
33238503	QSK50	2025	NHLT0ABALSB100129	Полюс Магадан(200)
33238504	QSK60	2025	NHLTBABAVSB2A0136	Полюс Красноярск(240)
33238516	QSK50	2025	NHLT0ABAASB100128	Полюс Магадан(200)
33238517	QSK50	2025	NHLT0ABACSB100126	Полюс Магадан(200)
33238542	QSK50	2025	NHLT0ABAVSB100127	Полюс Магадан(200)
33238551	QSK50	2025	NHLT0ABAVSB100130	Полюс Магадан(200)
33238552	QSK50	2025	NHLT0ABAHSB100133	Полюс Магадан(200)
33238553	QSK50	2025	NHLT0ABAASB100131	Полюс Магадан(200)
33238554	QSK50	2025	NHLT0ABALSB100132	Полюс Магадан(200)
33239054	QSK60	2023	NHLTBABACPB200017	Полюс Красноярск(240)
33239220	QSK60	2025	NHLTBABACSB2A0135	Полюс Красноярск(240)
33239746	QSK60	2025	NHLTBABAHSB2A0139	Полюс Красноярск(240)
33239899	QSK50	2023	NHLT0ABAVPB100085	Полюс Магадан(200)
37290554	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290634	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290690	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290715	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290765	QST30	2023	NHL TR100A	Полюс Алдан(100)
37290777	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290778	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290779	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37290800	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37291146	QST30	2023	NHL TR100A	Полюс Вернинское(100)
37291228	QST30	2025	NHL TR100A	Полюс Алдан(100)
37291391	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292015	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292386	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292543	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292555	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292643	QST30	2025	NHL TR100А	Полюс Алдан(100)
37292670	QST30	2025	NHL TR100A	Полюс Магадан(100)
37292817	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293161	QST30	2025	NHL TR100A	Полюс Алдан(100)
37293162	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293166	QST30	2025	NHL TR100A	Полюс Красноярск(100)
37293168	QST30	2025	NHL TR100A	Полюс Красноярск(100)
37293182	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293184	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293185	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293208	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293223	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293733	QST30	2025	NHL TR100А	Полюс Алдан(100)
37293753	QST30	2025	NHL TR100А	Полюс Алдан(100)
37294015	QST30	2025	NHL TR100А	Полюс Алдан(100)
37294016	QST30	2025	NHL TR100A	Полюс Магадан(100)
37294199	QST30	2025	NHL TR100A	Полюс Красноярск(100)
37294332	QST30	2025	NHL TR100А	Полюс Алдан(100)
37294333	QST30	2025	NHL TR100А	Полюс Алдан(100)
37294344	QST30	2025	NHL TR100A	Полюс Красноярск(100)
37294346	QST30	2025	NHL TR100А	Полюс Алдан(100)
37295690	QST30	2025	NHL TR100A	Полюс Магадан(100)
37295879	QST30	2025	NHL TR100А	Полюс Алдан(100)
